#Name	FpThm	FpRefl3	FpRefl5
TOI-544-b	0.06475637850172057	4.345559280184906	7.242598800308177
GJ-2030-b	19.33872528929517	1.9439599829713585	3.2399333049522645
K2-117-b	0.02689776522628833	6.3824150062402225	10.637358343733704
HD-110113-b	0.6353149296446498	1.6183142559833503	2.6971904266389175
K2-146-b	1.1522122130850098e-05	4.220594463853803	7.034324106423004
HR-858-b	0.8394224369824553	1.0324701430003762	1.7207835716672935
TOI-1224-b	3.900106673002777e-07	1.8820601842230382	3.1367669737050634
61-Vir-b	0.05085037462459017	0.9633702990150267	1.6056171650250444
K2-247-b	0.08147819668911828	3.1743559254855334	5.290593209142556
TOI-1749-c	2.6600975010529507e-05	1.2461828628361862	2.07697143806031
GJ-3090-b	9.257921972104856e-05	2.4806691980537954	4.134448663422992
HD-86226-c	0.15339498634747503	1.0373722876254379	1.7289538127090631
TOI-1470-b	0.00021990396294330566	3.196829171621086	5.328048619368476
K2-146-c	3.64092447759182e-07	2.7911878162129984	4.651979693688331
TOI-128.01	0.186311687514259	0.9259929216268575	1.5433215360447625
TOI-1408-c	7.172680114188579	2.120653817082389	3.5344230284706484
TOI-663-c	3.7187189720371156e-06	1.4422968194852166	2.403828032475361
TOI-1062-b	0.010579107168460554	0.9270390682406139	1.5450651137343565
TOI-663-b	0.00030943302238711724	3.2121777981983137	5.353629663663857
K2-326-b	0.21782451491806312	7.230900613472715	12.051501022454525
TOI-1669-c	0.5629224015629221	2.0481656365699417	3.413609394283236
K2-138-c	0.04556089089764582	1.4484346238130024	2.414057706355004
K2-22-b	24.399275390641137	44.65200000000001	74.42000000000002
K2-202-b	0.032628509146405506	1.1293248840169552	1.8822081400282586
K2-28-b	7.092645823678208e-07	5.0856933304204	8.476155550700666
K2-275-b	0.13596436095232275	3.9141343628468643	6.52355727141144
TOI-654.01	0.000790974766054407	6.922664356791755	11.537773927986258
HD-215497-b	0.011018486900153193	1.256422061609238	2.0940367693487305
TOI-1269-b	0.02566828070397758	1.2722543792412895	2.1204239654021495
TOI-1260-b	0.002844658822715331	2.360027297920168	3.933378829866947
TOI-1201-b	0.00018992493688118464	3.935808301179801	6.5596805019663345
K2-397-b	0.08742938156827548	1.5391817602808282	2.56530293380138
K2-43-c	0.19151563967440782	4.6346690606147645	7.724448434357941
K2-324-b	0.00013213679019230486	2.9390680285334114	4.898446714222352
TOI-4184-b	2.833093422890952e-10	2.968912468252026	4.94818744708671
LP-791-18-c	3.0931514281026495e-12	3.7890893761814737	6.315148960302457
K2-250-b	0.01668164677289901	1.510529446757882	2.5175490779298033
TOI-2274-b	2.972108938207361e-05	1.3596872998981282	2.2661454998302135
K2-61-b	3.642286585675896	2.1230892504930963	3.5384820841551607
K2-409-b	5.277961689965603	3.627784216179546	6.04630702696591
K2-282-b	0.058407666928082275	1.2775785123966945	2.1292975206611575
GJ-876-d	1.2435934765401838e-05	7.9356332324264685	13.226055387377448
TOI-5082.01	0.05169709987131129	1.3483512324979758	2.247252054163293
TOI-4602.01	0.3111609784869819	1.36975816362149	2.282930272702483
TOI-669-b	0.11459368879901968	1.6274486756527473	2.712414459421246
K2-285-b	0.04254602262401823	2.50351905457467	4.17253175762445
K2-395-b	0.0034511712458137208	1.3296398891966756	2.2160664819944595
HD-18599-b	0.005922948572326937	1.44078768673608	2.4013128112268
TOI-1836-c	23.95332532218617	3.8867202237770995	6.477867039628499
HD-217786-c	3.1680649367073666	2.572568219875435	4.2876136997923915
K2-320-b	0.0005269711516229597	18.564316871855773	30.94052811975962
GJ-1265-b	7.869052504548083e-10	5.579790329877127	9.299650549795212
TOI-2768-b	0.02341778944802868	7.247351187460642	12.078918645767736
TOI-1683.01	0.007213867141259038	2.842339874642895	4.737233124404825
TOI-277-b	0.00013831095707483404	5.292248965815877	8.820414943026462
TOI-3353.01	0.09288350659406296	1.0699182514796102	1.7831970857993504
HD-155918-b	2.8295485783070267	4.31949615885711	7.19916026476185
K2-182-b	0.005853471112265807	1.4338756074904353	2.3897926791507254
TOI-2000-b	0.5006555304099791	2.1770114311842708	3.628352385307118
TOI-125-b	0.014342050422620801	1.5074867656433324	2.5124779427388875
GJ-1214-b	7.357880388510314e-06	18.619959192955235	31.03326532159206
TOI-251-b	0.024890045616676265	1.246664740201994	2.077774567003323
GJ-3779-b	3.9094063364081976e-07	6.100589045626762	10.167648409377938
TOI-969-b	0.08116034137144698	5.985959049230938	9.976598415384895
TOI-269-b	2.286970820720837e-06	3.556409597015851	5.927349328359751
TOI-880.02	0.1185905219367127	3.5910198228710617	5.985033038118437
K2-284-b	7.936345958856914e-05	1.8661032153959864	3.1101720256599776
TOI-4479-b	0.015193963567077208	18.954635108481266	31.59105851413544
CoRoT-7-c	0.03592727797935341	2.064002821021022	3.440004701701704
GJ-3634-b	4.7772334654974674e-05	5.302273876434682	8.837123127391136
TOI-5319-b	2.5198397314973173e-07	2.2056486687721875	3.6760811146203123
BD-06-1339-b	0.0013567707045470479	2.417994233688741	4.0299903894812354
HD-39855-b	0.058982459260515194	2.6349664229865453	4.391610704977575
TOI-2406-b	5.722376084507163e-09	8.3642784502522	13.940464083753668
K2-378-b	0.07351950531499195	4.289951274627498	7.14991879104583
K2-255-b	0.08128983598559905	5.397753894457192	8.996256490761986
TOI-824-b	0.5890606878588578	9.920031616434363	16.533386027390605
K2-270-c	8.779625059196758e-05	0.8381157242825046	1.396859540470841
K2-278-b	5.625982751756339	2.2005208333333326	3.667534722222221
TOI-1246-b	0.00911186310063497	1.605591445756293	2.675985742927155
